source,scenario,condition,detector_seed,c,parameter_delta_l2,fixed_threshold,anomalous_loss_exposures,optimizer_steps,runtime_seconds,score_sha256,final_model_sha256,n,positives,negatives,prevalence,recall,fpr,ap,pr_auc_trapezoidal,auroc,update_loss
3005,recurring,dependency,55,5,0.05595757481573684,1.1408777236938472,5,1,0.19771064538508654,b166f141d511f31e5ddb1e11455239cff6c530427c5a00739ec6775499d885ad,05c26018649f48ca9ed0b5955158ac4d82ec8a887a0951d48c98b9ad1242ad07,8236,941,7295,0.11425449247207382,0.45483528161530284,0.22631939684715557,0.17355311323113037,0.17318714479380276,0.6603812752245398,1.9199142456054688
3005,recurring,dependency,55,10,0.05589342262652927,1.1408777236938472,10,1,0.1981783900409937,f7588c0accd42d5dfe249d55b9604139e5bfaeb427e56cb646b111d829ec9974,b802153de9f3c8a037067f1b1926b14c348fe9487610db19bcb9d865039f0a24,8236,941,7295,0.11425449247207382,0.45483528161530284,0.22618231665524333,0.17354692245997755,0.17318120497254502,0.6603845529124442,1.9279022216796875
3005,recurring,dependency,55,20,0.05512678874843488,1.1408777236938472,20,1,0.19826472690328956,74f8679687927fa27d33e3c272ecb49a754dafb9d34ef5f530f7eb588be0893d,03177ea61ad9450cadd17d9864ed05087ab243fcda6a97ff94b78ccd1c5016a8,8236,941,7295,0.11425449247207382,0.45589798087141337,0.22631939684715557,0.17352907407716084,0.17316332521140118,0.660369548385593,1.942643642425537
3005,recurring,dependency,55,30,0.054618658419262466,1.1408777236938472,30,1,0.1988787278532982,ebb6a38e850b49f5b488ffb32afd0644b0f68d5bd6459f191a9f597a74a4f514,695df724e61552a762431e20398b9a4ab08621fd736393529c8a4dd3a6da7c8d,8236,941,7295,0.11425449247207382,0.4569606801275239,0.22618231665524333,0.17349865908773582,0.17313290335657933,0.6603519945459273,1.9750534296035767
3005,recurring,mixture,11,,0.0,1.153200405836105,0,0,0.19111361308023334,4d23e222edddb2b4eed498b120133664e22afe9c894b96a29f96f22b76986eca,8a95ff4ab5c668fd15d67e4b5cddd4c3799329eb68427f145a041f96497fd3a4,8236,1922,6314,0.23336571151044197,0.5400624349635796,0.22537218878682294,0.3943116405418659,0.39399814773620523,0.7025843911931827,
3005,recurring,mixture,11,0,0.04853030397713875,1.153200405836105,0,1,0.19781694933772087,c2f6725930e6f3383a7e99519181ef6d3b0bcec01c18316f5ac5434c4ac4f28d,f0331df3323df458677380abb5e252f8b70d6febc2e81f98b638c1a639112fb7,8236,1922,6314,0.23336571151044197,0.5338189386056191,0.21840354767184036,0.39707298357423215,0.39675855469414034,0.7046721076694936,1.8596631288528442
3005,recurring,mixture,11,5,0.048596668295989964,1.153200405836105,5,1,0.19910221733152866,0a04dd987ee5d7220ec7bbd22dc9f6f286a79b0de1439c17c319bb66ea2626ee,65f1fc99ffea69cdd4a0baeb2cae55f611865aec27d46139441fe9e818a600fd,8236,1922,6314,0.23336571151044197,0.5338189386056191,0.21840354767184036,0.39706995625469155,0.39675601378995873,0.7046704596132276,1.8616136312484741
3005,recurring,mixture,11,10,0.04861396876906379,1.153200405836105,10,1,0.1980161489918828,10f207af0f3f5954b13b730d5831d39f1bd90db88967d4dcfce6a4c056579c75,57821c90ffcbddcc231bf62290f22886e2728972d25942a0bd0eb60fc516f5bf,8236,1922,6314,0.23336571151044197,0.5338189386056191,0.21840354767184036,0.39705659935976256,0.39674239383195115,0.7046555035026141,1.864951729774475
3005,recurring,mixture,11,20,0.04863494385917452,1.153200405836105,20,1,0.1974104829132557,d31de913a946ccb8bad9302874b215a4c1e872ab68546aa76e0fd8ca6a555bdc,05399f4993d12faa9b69a879b2d9f30ee9a69480910fc3d6749696f4b7a335bc,8236,1922,6314,0.23336571151044197,0.5338189386056191,0.21856192587899906,0.39704233909757547,0.39672805195987965,0.7046416186285733,1.8762940168380737
3005,recurring,mixture,11,30,0.04855184669811985,1.153200405836105,30,1,0.19757944392040372,386f4b40afa6c26fdce9a11badf8ba2b57a7bc89fceb7d85fe5165af4dfc8a60,9820111ad3ef8cf350c88d6f02eae2f4c1f4f275f802b2f5d4fa26c9de6b9a1b,8236,1922,6314,0.23336571151044197,0.5338189386056191,0.21872030408615775,0.39704253286482505,0.3967288538157665,0.7046171861944306,1.8992623090744019
